Date : 2026-08-31 22:36:53
Directory : /Users/arjunaravapalli/personalassistant/personalassistant
Total : 1050 files,  1315361 codes, 15754 comments, 35729 blanks, all 1366844 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/git-inspection.md                                                                                                            | Markdown                |         22 |          0 |          5 |         27 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/governance.md                                                                                                                | Markdown                |         47 |          0 |         15 |         62 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/habit-detection.md                                                                                                           | Markdown                |          6 |          0 |          3 |          9 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/human-in-the-loop-code-editing.md                                                                                            | Markdown                |         36 |          0 |         10 |         46 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/human-understanding-developer-guide.md                                                                                       | Markdown                |         30 |          0 |          8 |         38 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/human-understanding-operations.md                                                                                            | Markdown                |         25 |          0 |          5 |         30 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/identity.md                                                                                                                  | Markdown                |        124 |          0 |         33 |        157 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/incident-response.md                                                                                                         | Markdown                |         26 |          0 |          5 |         31 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/intelligence-infrastructure.md                                                                                               | Markdown                |        115 |          0 |         47 |        162 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/intent-execution-engine.md                                                                                                   | Markdown                |         99 |          0 |         31 |        130 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/intent-recording.md                                                                                                          | Markdown                |         90 |          0 |         23 |        113 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/interaction-inspector.md                                                                                                     | Markdown                |         15 |          0 |          5 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/interaction-verification.md                                                                                                  | Markdown                |         14 |          0 |          5 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-conflicts.md                                                                                                       | Markdown                |         10 |          0 |          7 |         17 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-entity-model.md                                                                                                    | Markdown                |         19 |          0 |          6 |         25 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-graph-studio.md                                                                                                    | Markdown                |         12 |          0 |          6 |         18 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-ingestion.md                                                                                                       | Markdown                |         13 |          0 |          6 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-memory-integration.md                                                                                              | Markdown                |         12 |          0 |          7 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-provenance.md                                                                                                      | Markdown                |         14 |          0 |          6 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-query-engine.md                                                                                                    | Markdown                |         12 |          0 |          5 |         17 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/knowledge-relationships.md                                                                                                   | Markdown                |         10 |          0 |          5 |         15 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/learning-engine.md                                                                                                           | Markdown                |         34 |          0 |          8 |         42 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/learning-events.md                                                                                                           | Markdown                |          9 |          0 |          4 |         13 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/learning-security.md                                                                                                         | Markdown                |          8 |          0 |          3 |         11 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/learning-studio.md                                                                                                           | Markdown                |         15 |          0 |          4 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-ai-offline-mode.md                                                                                                     | Markdown                |          5 |          0 |          2 |          7 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-ai-runtime.md                                                                                                          | Markdown                |          8 |          0 |          3 |         11 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-ai-security.md                                                                                                         | Markdown                |          6 |          0 |          2 |          8 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-ai-voice-integration.md                                                                                                | Markdown                |          6 |          0 |          2 |          8 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-model-registry.md                                                                                                      | Markdown                |          5 |          0 |          2 |          7 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/local-model-structured-output.md                                                                                             | Markdown                |          5 |          0 |          2 |          7 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/mac-agent-productization.md                                                                                                  | Markdown                |        149 |          0 |         40 |        189 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-health.md                                                                                                             | Markdown                |         17 |          0 |          8 |         25 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-import-export.md                                                                                                      | Markdown                |         15 |          0 |          7 |         22 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-provenance.md                                                                                                         | Markdown                |         18 |          0 |          8 |         26 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-retention.md                                                                                                          | Markdown                |         19 |          0 |          8 |         27 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-security.md                                                                                                           | Markdown                |         15 |          0 |          6 |         21 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/memory-studio.md                                                                                                             | Markdown                |         58 |          0 |         13 |         71 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/multi-agent-engineering.md                                                                                                   | Markdown                |         52 |          0 |         17 |         69 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/native-bridge.md                                                                                                             | Markdown                |         23 |          0 |          8 |         31 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/native-capability-dispatcher.md                                                                                              | Markdown                |         18 |          0 |          6 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/native-provider-developer-guide.md                                                                                           | Markdown                |         21 |          0 |          6 |         27 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/native-provider-operations.md                                                                                                | Markdown                |         18 |          0 |          6 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/native-spatial-runtime.md                                                                                                    | Markdown                |         58 |          0 |         13 |         71 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/networking.md                                                                                                                | Markdown                |         50 |          0 |         14 |         64 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/ollama-integration.md                                                                                                        | Markdown                |          6 |          0 |          3 |          9 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personal-knowledge-graph.md                                                                                                  | Markdown                |         20 |          0 |          7 |         27 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-core-human-understanding-engine.md                                                                               | Markdown                |         85 |          0 |         26 |        111 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-core.md                                                                                                          | Markdown                |         29 |          0 |         11 |         40 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-corpus-negative-examples.md                                                                                      | Markdown                |         23 |          0 |          9 |         32 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-corpus-schemas.md                                                                                                | Markdown                |         21 |          0 |          7 |         28 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-corpus-tooling.md                                                                                                | Markdown                |         19 |          0 |          7 |         26 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-learning-engine.md                                                                                               | Markdown                |         14 |          0 |          5 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-learning.md                                                                                                      | Markdown                |          7 |          0 |          3 |         10 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-seed-corpus.md                                                                                                   | Markdown                |         39 |          0 |         15 |         54 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-simulation.md                                                                                                    | Markdown                |         13 |          0 |          5 |         18 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/personality-studio.md                                                                                                        | Markdown                |         19 |          0 |          5 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17c-implementation-report.md                                                                                           | Markdown                |         27 |          0 |          7 |         34 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17d-implementation-report.md                                                                                           | Markdown                |         23 |          0 |          5 |         28 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17e-implementation-report.md                                                                                           | Markdown                |         36 |          0 |          8 |         44 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17f-implementation-report.md                                                                                           | Markdown                |         39 |          0 |          8 |         47 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17g-implementation-report.md                                                                                           | Markdown                |         33 |          0 |          7 |         40 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17h-implementation-report.md                                                                                           | Markdown                |         38 |          0 |         10 |         48 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-17i-implementation-report.md                                                                                           | Markdown                |         26 |          0 |          6 |         32 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-19a-implementation-report.md                                                                                           | Markdown                |         87 |          0 |         14 |        101 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-19b-implementation-report.md                                                                                           | Markdown                |         54 |          0 |         14 |         68 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-19c-implementation-report.md                                                                                           | Markdown                |         40 |          0 |          9 |         49 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-19d-implementation-report.md                                                                                           | Markdown                |         55 |          0 |         11 |         66 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20a-implementation-report.md                                                                                           | Markdown                |         11 |          0 |          4 |         15 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20b-implementation-report.md                                                                                           | Markdown                |         22 |          0 |          6 |         28 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20c-ai-router.md                                                                                                       | Markdown                |         65 |          0 |         18 |         83 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20d-ai-economics.md                                                                                                    | Markdown                |         60 |          0 |         11 |         71 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20e-cognitive-context.md                                                                                               | Markdown                |         82 |          0 |         11 |         93 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20f-runtime-benchmarking.md                                                                                            | Markdown                |         38 |          0 |          8 |         46 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20r-a-canonical-runtime-repair.md                                                                                      | Markdown                |         27 |          0 |         11 |         38 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20r-d-final-production-validation.md                                                                                   | Markdown                |        318 |          0 |         78 |        396 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/phase-20r-e-production-persistence-closure.md                                                                                | Markdown                |         80 |          0 |         51 |        131 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/policy-engine.md                                                                                                             | Markdown                |         60 |          0 |         20 |         80 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/preference-evolution.md                                                                                                      | Markdown                |          7 |          0 |          3 |         10 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/private-networking.md                                                                                                        | Markdown                |         21 |          0 |         10 |         31 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/programming-by-demonstration.md                                                                                              | Markdown                |         14 |          0 |          7 |         21 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/provider-diagnostics.md                                                                                                      | Markdown                |         21 |          0 |          6 |         27 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/provider-registry.md                                                                                                         | Markdown                |         15 |          0 |          5 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/provider-validation.md                                                                                                       | Markdown                |         18 |          0 |          6 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/read-only-execution.md                                                                                                       | Markdown                |         36 |          0 |          8 |         44 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/recent-authentication.md                                                                                                     | Markdown                |         13 |          0 |          4 |         17 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/recovery.md                                                                                                                  | Markdown                |         17 |          0 |          5 |         22 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/repository-intelligence.md                                                                                                   | Markdown                |         65 |          0 |         19 |         84 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/reviewed-native-provider-implementations.md                                                                                  | Markdown                |         25 |          0 |          9 |         34 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/reviewed-native-provider-runtime.md                                                                                          | Markdown                |         19 |          0 |          7 |         26 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/roadmap.md                                                                                                                   | Markdown                |        195 |          0 |         76 |        271 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/security.md                                                                                                                  | Markdown                |        152 |          0 |         31 |        183 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-code-intelligence.md                                                                                                | Markdown                |         48 |          0 |         15 |         63 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-desktop-model.md                                                                                                    | Markdown                |         21 |          0 |          8 |         29 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-interaction-developer-guide.md                                                                                      | Markdown                |         12 |          0 |          4 |         16 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-interaction-engine.md                                                                                               | Markdown                |         43 |          0 |         14 |         57 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-interaction-operations.md                                                                                           | Markdown                |         13 |          0 |          4 |         17 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-retrieval-engine.md                                                                                                 | Markdown                |         31 |          0 |         10 |         41 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/semantic-workspace-intelligence-engine.md                                                                                    | Markdown                |         45 |          0 |         16 |         61 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/sequence-learning.md                                                                                                         | Markdown                |          7 |          0 |          3 |         10 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/skill-registry.md                                                                                                            | Markdown                |         16 |          0 |          4 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/social-rules.md                                                                                                              | Markdown                |         11 |          0 |          4 |         15 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/spatial-command-space.md                                                                                                     | Markdown                |         66 |          0 |         15 |         81 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/spatial-desktop-layer.md                                                                                                     | Markdown                |         61 |          0 |         15 |         76 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/spatial-interaction-engine.md                                                                                                | Markdown                |         48 |          0 |         13 |         61 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/spatial-interaction-system.md                                                                                                | Markdown                |        120 |          0 |         21 |        141 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/spatial-ui-framework.md                                                                                                      | Markdown                |         73 |          0 |         15 |         88 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/transport-security.md                                                                                                        | Markdown                |         19 |          0 |          4 |         23 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/trusted-applications.md                                                                                                      | Markdown                |         15 |          0 |          5 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/trusted-native-execution-transport.md                                                                                        | Markdown                |         29 |          0 |          9 |         38 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/universal-application-adapter-framework.md                                                                                   | Markdown                |         29 |          0 |          9 |         38 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/universal-application-adapter-sdk.md                                                                                         | Markdown                |         76 |          0 |         25 |        101 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/verified-code-validation.md                                                                                                  | Markdown                |         65 |          0 |         19 |         84 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/vocabulary-learning.md                                                                                                       | Markdown                |          7 |          0 |          3 |         10 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/voice-navigation-engine.md                                                                                                   | Markdown                |         61 |          0 |         21 |         82 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/voice-operating-system.md                                                                                                    | Markdown                |         50 |          0 |         15 |         65 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/workflow-editor.md                                                                                                           | Markdown                |         15 |          0 |          5 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/workflow-generation.md                                                                                                       | Markdown                |         15 |          0 |          6 |         21 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/workflow-orchestration.md                                                                                                    | Markdown                |         15 |          0 |          5 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/working-style.md                                                                                                             | Markdown                |         13 |          0 |          4 |         17 |
| /Users/arjunaravapalli/personalassistant/personalassistant/docs/workspace-security.md                                                                                                        | Markdown                |         25 |          0 |          7 |         32 |
| /Users/arjunaravapalli/personalassistant/personalassistant/eslint.config.js                                                                                                                  | JavaScript              |         63 |          0 |          2 |         65 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/gbrain/recipes/agent-voice/tests/evals/baseline-runs/canonical/README.md                                        | Markdown                |          8 |          0 |          5 |         13 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/hermes-agent/apps/desktop/src/global.d.ts                                                                       | TypeScript              |        915 |        338 |         81 |      1,334 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/hermes-agent/apps/desktop/src/plugins/hermes-bots/plugin.js                                                     | JavaScript              |     11,001 |      1,859 |      1,424 |     14,284 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/hermes-agent/apps/desktop/src/vite-env.d.ts                                                                     | TypeScript              |          0 |          1 |          1 |          2 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/hermes-agent/evals/readtool/results/SUMMARY.md                                                                  | Markdown                |         28 |          0 |          8 |         36 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/hermes-agent/hermes_cli/data/plugin_index.json                                                                  | JSON                    |         68 |          0 |          1 |         69 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/litellm/.github/observatory/litellm_config.yaml                                                                 | YAML                    |         11 |          6 |          3 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-cluster.ytt.yaml                                                                         | YAML                    |         68 |          2 |          5 |         75 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-collections.ytt.yaml                                                                     | YAML                    |        402 |          1 |         20 |        423 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-main.ytt.yaml                                                                            | YAML                    |        496 |          5 |         74 |        575 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-points.ytt.yaml                                                                          | YAML                    |        420 |          1 |         19 |        440 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-quotas.ytt.yaml                                                                          | YAML                    |         34 |          1 |          3 |         38 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-service.ytt.yaml                                                                         | YAML                    |        190 |          7 |          8 |        205 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-shard-snapshots.ytt.yaml                                                                 | YAML                    |        208 |          1 |          6 |        215 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-shards.ytt.yaml                                                                          | YAML                    |         70 |          1 |          2 |         73 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/qdrant/openapi/openapi-snapshots.ytt.yaml                                                                       | YAML                    |        288 |          1 |         10 |        299 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/ad_bids/data/AdBids_dst.csv                                                   | CSV                     |          4 |          0 |          0 |          4 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/ad_bids/data/AdBids_mini.csv                                                  | CSV                     |          5 |          0 |          0 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/ad_bids_2rows/data/AdBids_2rows.csv                                           | CSV                     |          3 |          0 |          0 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/csv_test/all_datatypes.csv                                    | CSV                     |          4 |          0 |          1 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2010/aac.csv                                      | CSV                     |          4 |          0 |          1 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2023/aab.csv                                      | CSV                     |          4 |          0 |          1 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2024/aaa.csv                                      | CSV                     |          4 |          0 |          1 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2024/bbb.csv                                      | CSV                     |          4 |          0 |          1 |          5 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024/month=11/day=30/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024/month=11/day=30/file2.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024/month=11/day=31/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=01/day=01/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=01/day=01/file2.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=01/day=01/file3.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=01/day=02/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=01/day=02/file2.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=02/day=01/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=12/day=01/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2025/month=12/day=01/file2.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2026/month=01/day=01/file1.csv         | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2026/month=01/day=01/hour=01/file1.csv | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2026/month=01/day=01/hour=02/file1.csv | CSV                     |          2 |          0 |          1 |          3 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/web-local/tests/data/AdBids.csv                                                                            | CSV                     |    100,001 |          0 |          1 |    100,002 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/web-local/tests/data/AdImpressions.tsv                                                                     | TSV                     |     50,001 |          0 |          1 |     50,002 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/web-local/tests/data/BrokenCSV.csv                                                                         | CSV                     |      1,902 |          0 |          1 |      1,903 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/web-local/tests/data/Users.csv                                                                             | CSV                     |        101 |          0 |          1 |        102 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/rill/web-local/tests/data/test-delimiter.csv                                                                    | CSV                     |          6 |          0 |          1 |          7 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/temporal/tools/testrunner/testdata/junit-alert-data-race.xml                                                    | XML                     |         13 |          0 |          2 |         15 |
| /Users/arjunaravapalli/personalassistant/personalassistant/external-research/temporal/tools/testrunner/testdata/junit-alert-panic.xml                                                        | XML                     |          7 |          0 |          1 |          8 |
